Year,Beijing_Enterprise,Beijing_Output,Tianjin_Enterprise,Tianjin_Output,Hebei_Enterprise,Hebei_Output,Shanxi_Enterprise,Shanxi_Output,InnerMongolia_Enterprise,InnerMongolia_Output,Liaoning_Enterprise,Liaoning_Output,Jilin_Enterprise,Jilin_Output,Heilongjiang_Enterprise,Heilongjiang_Output,Shanghai_Enterprise,Shanghai_Output,Jiangsu_Enterprise,Jiangsu_Output,Zhejiang_Enterprise,Zhejiang_Output,Anhui_Enterprise,Anhui_Output,Fujian_Enterprise,Fujian_Output,Jiangxi_Enterprise,Jiangxi_Output,Shandong_Enterprise,Shandong_Output,Henan_Enterprise,Henan_Output,Hubei_Enterprise,Hubei_Output,Hunan_Enterprises,Hunan_Output,Guangdong_Enterprise,Guangdong_Output,Guangxi_Enterprise,Guangxi_Output,Hainan_Enterprise,Hainan_Output,Chongqing_Enterprise,Chongqing_Output,Sichuan_Enterprise,Sichuan_Output,Guizhou_Enterprise,Guizhou_Output,Yunnan_Enterprise,Yunnan_Output,Tibet_Enterprise,Tibet_Output,Shaanxi_Enterprise,Shaanxi_Output,Gansu_Enterprise,Gansu_Output,Qinghai_Enterprise,Qinghai_Output,Ningxia_Enterprise,Ningxia_Output,Xinjiang_Enterprise,Xinjiang_Output
  1949,21055,1.47,4708,7.29,6479,6.59,2864,3.73,765,NA,8816,11.9,2561,3.54,5227,7.53,20307,NA,9049,15.89,84,5.8,3813,4.84,NA,NA,3238,2.64,112422,9.15,2646,2.98,4111,NA,1400,3.18,7796,9.89,NA,NA,NA,NA,NA,6.04,NA,NA,NA,2.06,NA,1.95,NA,NA,3926,2.86,1106,1.27,15,0.19,293,0.13,363,0.98
  1950,23461,3.07,6358,11.6,6931,8.97,3142,5.47,NA,NA,10762,23.5,3042,5.87,5997,11.08,20897,NA,9899,19,NA,5.13,4054,5.46,7326,2.45,3315,4.91,125564,13.07,2690,4.33,NA,NA,1884,4.15,9428,NA,82564,2.31,NA,NA,NA,6.85,NA,NA,16,2.18,1479,2.34,NA,NA,4412,3.28,1245,1.47,17,0.2,318,0.14,426,1.24
  1951,29839,5.99,9190,17.32,7554,11.78,3594,7.31,NA,NA,12216,31.4,3707,7.18,6298,12.6,24956,NA,10129,22.55,NA,7.46,4328,6.5,7568,3.2,4114,6,139390,16.27,3482,6.25,NA,NA,2796,5.82,NA,NA,85890,3,NA,NA,NA,9.58,NA,NA,47,2.66,1723,3.01,NA,NA,5056,3.83,1384,1.95,40,0.24,493,0.17,577,1.63
  1952,34386,7.19,82,18.54,7553,16.56,3318,4.57,1353,1.6,10696,44.2,3542,10.48,5769,17.88,25878,66.6,9661,25.53,3269,8.24,4439,7.86,6131,4.2,4225,6.97,141292,20.08,4246,9.98,5028,9.99,290,2.7,12362,19.85,90090,4.05,35,0.42,5863,10.9,14340,7.91,52,3.04,2161,3.81,NA,NA,5402,4.95,1447,2.35,48,0.27,686,0.2,771,2.2
  1953,38632,10.28,8459,26.21,6387,18.17,4018,13.34,NA,2.55,11258,58.7,3385,13.28,5502,25.1,29873,91.5,9829,29.81,NA,11.71,4370,8.76,6311,5.43,4138,7.86,154410,25.41,4824,11.9,NA,13.6,3163,10.1,NA,NA,99835,5.42,NA,NA,NA,14.88,NA,NA,215,3.67,2037,6.03,NA,NA,5613,6.63,1222,2.77,91,0.35,603,0.26,968,2.96
  1954,39595,11.86,8918,29.43,5688,22.04,5732,17.94,NA,3.77,9683,65.6,3472,15.11,4993,28.23,28860,96.37,10008,31.66,NA,12.97,3726,9.8,6850,6.12,5329,8.36,143514,29.35,6665,13.65,NA,14.69,4265,11.94,NA,NA,97375,6.63,NA,NA,NA,19.02,NA,NA,387,4.13,4648,7.6,NA,NA,6368,8.51,1989,3.44,189,0.47,918,0.32,1187,3.43
  1955,32036,13.19,7250,30.09,2850,22.96,5262,21.69,NA,4.41,7281,71.8,3348,13.89,3648,26.87,23713,91.42,7773,32.82,NA,12.57,1991,12.4,5936,6.35,5092,8.85,126429,30.1,8351,14.49,NA,16.26,5985,12.11,NA,NA,64153,7.66,NA,NA,NA,21.59,NA,NA,442,4.56,3195,8.66,NA,NA,5685,9.37,1373,4.07,207,0.71,225,0.37,1435,4.06
  1956,3574,18.19,2710,35.68,1060,24.48,4728,26.56,NA,6.05,4908,101.3,3033,16.93,3808,31.33,18724,113.92,2426,38.6,NA,16.35,1138,15.4,5746,7.32,5584,10.62,25664,39.64,4705,16.11,NA,20.66,7812,14.65,NA,NA,9190,8.59,NA,NA,NA,27.47,NA,NA,751,5.38,3247,9.64,NA,NA,4075,11.23,1592,4.87,252,1.16,265,0.36,1457,4.03
  1957,4234,19.93,1049,38.57,1078,25.86,4284,13.07,2110,6.3,5629,117.1,3093,20.8,4256,35.03,16316,118.82,2322,41.01,12558,20.88,1596,31.8,6127,8.57,5853,11.7,34467,43.31,4561,16.63,8424,24.31,1340,18.19,25510,37.92,13610,9.2,241,1.33,2879,31.08,6931,21.57,3683,6.05,3866,11.19,NA,NA,5458,11.34,1724,5.72,356,1.27,310,0.46,1396,4.75
  1958,2084,42.8,2376,61.94,3708,39.63,5016,50.75,NA,12.03,42928,163.7,4281,30.88,3865,61.81,14240,176.44,5868,75.22,NA,38.25,8652,49.33,NA,12.94,10753,18.96,125511,69.57,22442,33.17,NA,34.93,12971,32.41,21578,NA,46348,12.15,NA,NA,NA,44.64,NA,NA,68333,9.42,23110,17.64,NA,NA,3656,19.9,17895,9.22,677,1.78,1755,0.92,2669,7.1
  1959,2890,65.37,2169,85.15,7605,63.84,7388,73.61,NA,18.78,6992,212.3,5470,41.84,9416,89.68,12205,254.68,4809,96,NA,50.33,15103,56.62,7561,19.56,11733,24.84,21216,92.98,15429,50.16,NA,49.57,12216,42.63,15892,NA,9719,17.43,NA,NA,NA,61.96,NA,NA,14963,13.42,7281,24.45,36,0.01,4964,29.49,9807,15.6,929,4.96,830,1.79,3056,15.99
  1960,2238,86.85,1429,93.42,6697,74.73,2069,41.95,NA,28.57,6577,258.5,5574,57.33,10075,107.33,13488,298.97,6132,100.32,NA,54.33,11058,28.24,7217,25.01,12425,28.79,11522,97.91,10698,58.41,NA,59.92,2056,45.42,12835,NA,8185,19.49,NA,NA,5029,26.62,15236,27.45,4818,13.95,5718,27.77,NA,0.04,6808,36.83,3945,17.92,899,6.57,783,2.38,3274,20.17
  1961,2207,51.23,1968,51.54,6380,42.09,5743,50.69,NA,15.93,6718,111.6,5107,32.71,7400,62.18,11447,187.43,3284,62.5,NA,37.56,8704,20.01,6722,13.77,12367,19.06,7530,55.04,7173,31.2,NA,33.55,13095,28.56,15986,NA,6796,10.53,NA,NA,NA,34.94,NA,NA,4165,8.46,5181,15.7,NA,0.45,5653,21.19,2480,7.98,705,3.17,566,2.05,2506,15.59
  1962,2049,39.09,2018,45.39,5611,33.42,5244,43.64,3614,14.26,7042,107.4,4640,30.05,6509,49.69,8809,151.98,3018,53.36,11156,33.62,7820,20.13,6369,11.23,10873,16.95,6794,45.7,5927,23.93,10293,34.83,10449,26.42,14582,50.57,6082,9.53,911,1.33,5029,26.62,16775,21.48,3714,7.12,4800,14.46,NA,0.43,4978,18.14,1490,10.27,465,1.91,446,1.53,2252,12.19
  1963,2039,40.59,1976,48.95,4465,33.49,3981,48.32,NA,21.26,7047,115.9,3733,35.47,5383,55.47,8522,168.91,NA,54.66,10655,33.97,6455,24.45,5848,11.33,9774,18.07,5856,49.1,5621,26.65,NA,39.19,9154,28.21,14390,NA,5444,10.49,NA,NA,NA,28.08,12685,NA,3441,7.32,4758,14.74,NA,1.17,3830,19.69,1592,11.96,415,1.88,448,1.49,2064,11.72
  1964,1715,45.94,1881,55.2,4294,39.1,3791,55.6,NA,23.05,7016,137.5,3509,40.31,4955,69.91,8343,196.95,NA,68.17,9575,39.08,6099,31.8,5699,13.94,8811,21.11,5745,58.61,5639,32.27,NA,44.85,8268,32.38,13770,NA,5182,11.94,NA,NA,NA,35.87,14292,NA,3272,8.84,4508,16.36,NA,0.55,3675,23.88,1703,14.19,434,1.97,445,1.59,2126,11.18
  1965,1790,55.03,1969,64.8,4298,49.38,2460,34.07,2490,26.08,6791,170.5,3677,47.49,4971,88.54,8189,230.77,NA,88.08,9048,44.01,5741,38.25,4933,17.24,9161,24.1,5585,71.38,5341,42.34,9582,52.9,6691,33.65,12748,71.76,5011,15.59,815,2.51,4761,43.94,17136,37.68,3753,11.43,4424,20.31,80,0.22,3872,29.65,1706,18.17,449,2.42,454,2.03,1993,13.77
  1966,1842,66.52,2214,80.42,4422,55.21,3390,85.09,NA,29.56,4728,202,3027,53.95,3879,108.35,8267,259.59,NA,104.19,9253,50.52,5937,26.29,4547,21.57,7813,27.17,6070,88.64,5492,49.3,NA,66.71,8875,47.94,12853,NA,4453,19.36,NA,NA,NA,51.16,32465,NA,2606,12.98,4235,23.46,NA,0.18,3039,40.94,1579,23.9,423,3.01,530,3.08,2427,17.28
  1967,1841,60.16,2308,68.27,4438,53.76,3738,71.48,NA,20.28,4371,149.2,3419,40.01,3951,97.39,8582,226.88,NA,84.8,9298,47.27,5968,25.56,4653,19.11,7017,22.96,6159,96.6,5434,46.15,NA,60.95,9512,42.98,NA,NA,4760,17.04,NA,NA,NA,40.44,32622,NA,2536,12.28,4235,21.59,NA,0.2,2817,33.08,1607,18.46,439,3.11,439,2.92,2091,15.52
  1968,1792,63.44,2284,69.13,4194,60.52,3765,48.92,NA,21.19,4646,128.9,3526,31.76,3919,93.62,8532,251.87,NA,85.48,9349,44.91,5979,36.49,4643,13.37,5596,26.11,6070,103.85,5757,42.37,NA,45.81,9401,36.72,NA,NA,4773,12.15,NA,NA,NA,23.28,34047,NA,2527,11.2,4235,7.04,NA,0.23,2861,20.3,1528,20.65,470,3.08,434,2.87,2088,13.89
  1969,1740,90.43,2220,88.47,4659,73.64,3782,67.59,NA,22.32,6419,213.1,3395,52.42,5555,108.7,8635,284.42,7646,102.8,10526,57.65,6191,45.45,4493,20.96,5771,33.98,6248,105.79,5918,54.25,NA,59.46,9410,47.83,10773,NA,5221,22.32,NA,NA,NA,36.31,33384,NA,2518,10.12,3992,24.01,NA,0.28,2897,42.69,1315,28.26,485,3.48,444,3.76,1999,13.48
  1970,1819,120.14,1849,99.44,7997,89.52,3311,46.81,3341,27.8,1480,226.4,5303,63.47,8914,136.84,9834,312.18,7390,135.47,12177,66.66,7476,56.67,4553,24.41,6384,41.62,7384,141.22,7576,73.68,10990,86.27,10106,66.26,13544,100.55,6138,27.41,873,3.93,5077,53.07,19369,66.59,3933,20.75,6818,30.82,NA,0.34,5093,51.61,2247,36.54,610,4.74,597,5.01,2276,18.1
  1971,1931,146.99,3216,111.57,8881,98.64,5910,113.69,NA,31.09,8712,299.2,5687,74.25,8489,130.56,9307,336.52,14741,167.59,12792,70.59,7841,61.7,4861,28.45,6543,50.31,7983,147.91,8185,91.54,NA,95.31,13227,77.35,13590,NA,6770,33.3,NA,NA,NA,68.55,32898,NA,4577,22.94,5129,32.75,NA,0.12,5875,62.46,3114,47.84,822,7.23,721,6.53,2525,19.89
  1972,2059,155.31,3249,112.24,9611,100.91,6093,119.67,NA,31.57,8889,268.5,5506,78.96,8527,137.07,9327,355.39,15581,183.38,13753,76.78,8162,73.71,5363,33.64,7384,50.74,8181,153.92,7895,100.75,NA,96.97,14112,87.05,14141,NA,7182,37.48,NA,NA,NA,65.02,35337,NA,4948,22.04,5581,36.94,NA,0.12,6033,61.89,3173,49.16,913,7.16,695,7.5,2690,17.47
  1973,2167,166.75,3463,123.5,10131,111.79,6423,131.66,NA,32.67,9997,295,5634,84.91,9489,147.7,9069,383.33,16439,208.1,14407,85.56,8539,69.87,6024,39.16,8156,56.14,8493,162.94,8340,106.07,NA,110.92,14039,100.63,15218,NA,7238,42.77,NA,NA,NA,60.26,34503,NA,5102,19.21,5828,41.33,NA,0.37,5791,66.05,3220,52.39,959,8.51,689,8.57,2716,17.17
  1974,2255,181.7,3641,134.55,10453,124.92,7115,123.8,NA,29.78,10404,316.8,5654,84.9,9716,158.33,8867,398.4,17080,205.39,15048,73.54,9111,81.8,6069,39.88,8647,47.45,8666,119.99,9154,115.62,NA,100.78,14903,83.66,15617,NA,7491,46.73,NA,NA,NA,55.36,37120,NA,5597,17.86,6170,41.59,NA,0.59,6258,68.1,3403,57.27,1022,8.83,736,9.68,2859,17.38
  1975,3739,197.63,2030,138.2,9143,146.61,6764,64.37,5373,36.9,10100,319.16,6510,99.31,10483,176.06,8743,420.37,18975,235.28,16716,77.59,9565,90.51,7001,43.37,8879,54.66,9933,189.78,10880,130.46,9797,127.99,13245,87.85,16058,155.23,5598,52.31,1413,6.84,7531,74.29,20632,102.14,6035,24.97,6364,42.33,NA,0.74,7183,75.36,3043,59.5,1038,10.16,836,11.17,3046,21.41
  1976,3877,207.81,2063,131.02,10263,132.51,8862,64.92,NA,37.61,12740,358.9,7324,103.39,12031,186.6,8798,423.45,22105,247.59,17556,82.07,11201,98.86,7357,43.55,9215,48.12,13422,220,12668,95.94,14511,114.84,18438,94.06,17286,NA,9148,56.71,NA,NA,8489,65.28,21668,129.64,6798,23.08,6499,32.6,NA,0.91,8951,71.47,3344,60.46,1158,9.96,918,10.45,3238,24.08
